"Date","Time","Open","High","Low","Close","Vol","OI"
04/18/2012,15:00,6.42,6.55,6.31,6.53,4115480,0
04/19/2012,15:00,6.55,6.69,6.50,6.63,3874390,0
04/20/2012,15:00,6.63,6.75,6.59,6.63,4108870,0
04/23/2012,15:00,6.57,6.59,6.34,6.39,4453575,0
04/24/2012,15:00,6.36,6.44,6.20,6.36,3372335,0
04/25/2012,15:00,6.41,6.60,6.41,6.58,3560665,0
04/26/2012,15:00,6.59,6.70,6.58,6.70,2138095,0
04/27/2012,15:00,6.72,6.73,6.58,6.67,2951025,0
04/30/2012,15:00,6.65,6.67,6.52,6.63,2069740,0
05/01/2012,15:00,6.63,6.84,6.63,6.76,3294735,0
05/02/2012,15:00,6.70,6.88,6.68,6.79,2486255,0
05/03/2012,15:00,6.78,6.80,6.43,6.49,4210535,0
05/04/2012,15:00,6.46,6.49,6.28,6.37,6237430,0
05/07/2012,15:00,6.39,6.52,6.32,6.49,5789845,0
05/08/2012,15:00,6.50,6.55,5.87,6.04,15485900,0
05/09/2012,15:00,6.06,6.15,5.95,6.01,9739140,0
05/10/2012,15:00,6.59,6.94,6.48,6.59,27781505,0
05/11/2012,15:00,6.52,6.69,6.43,6.45,6106025,0
05/14/2012,15:00,6.38,6.43,6.01,6.01,6904210,0
05/15/2012,15:00,6.05,6.19,5.84,5.89,7928410,0
05/16/2012,15:00,5.92,6.04,5.78,5.84,6285965,0
05/17/2012,15:00,5.86,5.96,5.65,5.71,5745215,0
05/18/2012,15:00,5.67,5.69,5.37,5.51,8082435,0
05/21/2012,15:00,5.52,5.85,5.42,5.75,7375850,0
05/22/2012,15:00,6.02,6.27,6.00,6.16,11830850,0
05/23/2012,15:00,6.11,6.21,5.90,6.20,6101745,0
05/24/2012,15:00,6.25,6.25,5.94,6.06,5377600,0
05/25/2012,15:00,6.03,6.08,5.84,5.96,3785045,0
05/29/2012,15:00,6.00,6.39,6.00,6.34,8249585,0
05/30/2012,15:00,6.22,6.28,6.05,6.08,6535705,0
05/31/2012,15:00,6.01,6.06,5.75,5.90,5593505,0
06/01/2012,15:00,5.71,5.83,5.55,5.63,4428550,0
06/04/2012,15:00,5.61,5.68,5.42,5.58,5154170,0
06/05/2012,15:00,5.57,5.68,5.51,5.58,3154425,0
06/06/2012,15:00,5.64,5.89,5.63,5.84,4552540,0
06/07/2012,15:00,5.96,5.97,5.77,5.79,2460075,0
06/08/2012,15:00,5.77,6.04,5.63,6.02,4406045,0
06/11/2012,15:00,6.06,6.20,5.79,5.82,3179735,0
06/12/2012,15:00,5.85,5.97,5.76,5.93,2844970,0
06/13/2012,15:00,5.91,6.13,5.89,5.95,4221855,0
06/14/2012,15:00,6.04,6.13,5.72,5.88,4360805,0
06/15/2012,15:00,5.88,5.99,5.76,5.98,3233685,0
06/18/2012,15:00,5.99,6.47,5.90,6.37,6283980,0
06/19/2012,15:00,6.40,6.53,6.30,6.42,4555145,0
06/20/2012,15:00,6.70,6.90,6.64,6.76,17111710,0
06/21/2012,15:00,6.85,6.86,6.37,6.44,9459475,0
06/22/2012,15:00,6.52,6.80,6.49,6.76,15237260,0
06/25/2012,15:00,6.79,6.82,6.55,6.62,7515930,0
06/26/2012,15:00,6.41,6.47,6.28,6.32,13069245,0
06/27/2012,15:00,6.38,6.49,6.31,6.39,5235970,0
06/28/2012,15:00,6.38,6.42,6.12,6.28,4570200,0
06/29/2012,15:00,6.56,6.56,6.20,6.26,5628520,0
07/02/2012,15:00,6.27,6.36,6.04,6.08,6577670,0
07/03/2012,15:00,6.12,6.20,6.08,6.13,4677405,0
07/05/2012,15:00,6.16,6.33,6.16,6.25,6269330,0
07/06/2012,15:00,6.20,6.35,6.16,6.20,3923305,0
07/09/2012,15:00,6.19,6.37,6.13,6.30,4552045,0
07/10/2012,15:00,6.31,6.50,6.18,6.25,3791760,0
07/11/2012,15:00,6.31,6.34,6.20,6.30,3192580,0
07/12/2012,15:00,6.26,6.60,6.16,6.54,5628350,0
07/13/2012,15:00,6.59,6.88,6.57,6.85,6524560,0
07/16/2012,15:00,6.86,7.20,6.78,7.19,8719540,0
07/17/2012,15:00,7.00,7.04,6.48,6.67,12847315,0
07/18/2012,15:00,6.28,6.73,6.21,6.43,14410420,0
07/19/2012,15:00,6.59,6.63,6.41,6.45,7179390,0
07/20/2012,15:00,6.41,6.45,6.25,6.36,7842330,0
07/23/2012,15:00,6.21,6.26,6.12,6.13,6933715,0
